track_id,danceability,popularity,energy,acousticness,valence,instrumentalness,tempo,loudness
16euYyM9iFZqOk3p9bnsEW,0.305,,0.834,0.00629,0.521,4.19e-05,162.706,-9.507
3d2oiHuHm3rftzRDPeL5LU,0.561,,0.783,0.106,0.768,0.0214,133.518,-8.878
0gDyuX5rdHulQTUyrIdSR1,0.529,,0.104,0.985,0.183,0.291,135.235,-19.669
7xsr2OppItxPB4whucYr2G,0.585,,0.517,0.0494,0.714,0.0235,131.412,-10.269
4k9pqSKBHYdTGjzNeRyQ0o,0.545,,0.352,0.885,0.206,0.0625,74.163,-14.425
2pNwQBjJppt8v3sZojH1aj,0.587,,0.842,0.299,0.794,0.51,85.297,-10.463
6ywRlumSQjOOkcSnJYAgHw,0.591,,0.824,0.0344,0.741,0.0,104.304,-7.83
3xicEV8TwGCGtVnqaDhGLj,0.545,,0.763,0.0239,0.719,0.00013,157.512,-7.27
6bbQuT0lK4ekunMnK446Bt,0.31,,0.862,0.000454,0.599,0.016,196.703,-6.943
0brrVj6VnvrG70SjRTnEJA,0.168,,0.974,0.000598,0.609,0.783,205.278,-4.862
1OtO2g2E1rnAW4KjNNeNui,0.471,,0.77,0.0237,0.681,0.0,150.92,-7.123
0UASKqdWmzHqzxUDuJNorP,0.287,,0.759,0.000509,0.815,0.00236,173.344,-6.944
2Oed9gZ5WKs6IJ55G1p3DY,0.337,,0.929,0.0655,0.753,0.0,161.791,-6.59
0y8zZOu4u6NmoW7u1jEQzo,0.556,,0.822,0.0458,0.792,0.00134,147.282,-6.082
4aKMvmxQgX7J766G4pFlyh,0.382,,0.855,0.0155,0.962,0.0,187.805,-8.056
0tIJ9LcPpRVH2ENDYr1qjF,0.353,,0.911,0.00157,0.765,0.00044,169.091,-7.702
13kmaAS77f3Ly94fmxPZ7j,0.567,,0.923,0.112,0.684,2.53e-05,106.735,-7.35
6IMlcKjsIM3l3yXWykTa3y,0.721,,0.488,0.0289,0.884,0.038,152.287,-10.294
3nkGF86S0wfh4Qk2yeb0Sw,0.558,,0.78,0.00372,0.81,0.0,92.875,-7.935
0zRsYMipqgzvSe2rvNt9uH,0.403,,0.674,0.00158,0.877,1.38e-06,161.424,-8.208
7s25THrKz86DM225dOYwnr,0.805,,0.558,0.164,0.965,2.2e-05,114.95,-5.226
4ioNP12wZS8rcMZRf1vwko,0.523,,0.351,0.321,0.286,0.0,130.881,-8.54
1hES47PrbU8GPTI5A9lsr0,0.657,,0.371,0.367,0.709,0.0459,134.867,-9.186
7JTOzgSUnVvn4RagIEJjDn,0.649,,0.296,0.364,0.6,7.76e-06,81.911,-9.389
6Ku82QCBc2uC0yfl7GJVVj,0.849,,0.401,0.242,0.554,1.25e-05,125.836,-8.114
3eK8ej1lXMTWNsfqL5hJRv,0.586,,0.318,0.327,0.585,0.0,150.836,-8.582
0xGcAq56TXf3RnSHkCiL9k,0.641,,0.365,0.377,0.356,1.03e-06,141.597,-9.632
2B3p4UHHQ8i5elbErGgU6p,0.796,,0.562,0.237,0.834,1.12e-06,112.495,-8.126
6cLEpgDcEldV1n9gusHQUX,0.668,,0.284,0.706,0.491,0.0,134.911,-10.192
7mvKpoeI6sq6osDtSb9xcF,0.84,,0.44,0.535,0.531,0.00581,120.221,-9.435
4jeEaCq9omzcX5cOFKhT5O,0.529,,0.307,0.398,0.318,2.38e-05,132.633,-10.608
1DzKS1j1XiKJ5HN9bnFGO0,0.811,,0.485,0.452,0.956,3.11e-06,114.843,-8.866
6soyMRtt1bM1ba5e8Hg4o6,0.711,,0.303,0.419,0.663,0.0158,135.172,-9.655
3LX1JoS93qV30UCwGaXDhR,0.629,,0.233,0.663,0.639,0.0,134.113,-13.291
2oZmMp5M6L0Rh7G84Um2tF,0.721,,0.567,0.221,0.914,0.0,116.643,-9.516
0EqaoyLMibTK9EOmeKN0DB,0.735,,0.557,0.29,0.93,0.0003,122.537,-9.196
4AB8I2iNcBMxgQKkeeIKIv,0.594,,0.328,0.783,0.387,0.0,126.702,-9.502
61lGw5yclg5rnyZUOkxZ8l,0.677,,0.634,0.536,0.861,5.48e-06,116.764,-9.352
5K09WxKdlkroDyEVyOSySy,0.603,,0.271,0.679,0.405,0.0,110.89,-10.083
3lrSnngQqNWgvQmcFbCJCx,0.708,,0.67,0.471,0.939,0.0318,117.149,-8.142
6IGfFOpzovgM5EYFzSCAZO,0.541,,0.449,0.625,0.44,8.18e-05,120.473,-8.76
3cyWykDWEIr32xDFpNiGY3,0.475,,0.675,0.354,0.961,0.000366,162.836,-8.695
1FjyfUBL7Dj1GpSxL1XLCQ,0.642,,0.405,0.567,0.538,2.54e-05,91.332,-11.094
