track_id,danceability,energy,acousticness,valence,tempo,loudness
1iii3DosaivkmvUDmhZhCP,0.365,0.839,0.522,0.575,81.772,-5.148
7faybsF8gIVvWtAp9hUcI2,0.337,0.919,0.183,0.525,114.748,-3.94
5jzma6gCzYtKB1DbEwFZKH,0.651,0.801,0.123,0.776,133.769,-7.34
7FYkZkF9fog6WS818wJnhl,0.52,0.906,0.0196,0.868,151.608,-6.534
06JxwPA4WAg0LWADJtaldL,0.528,0.397,0.00562,0.579,128.475,-12.024
2FNsNZjUQg3bhx5dWW0pRs,0.594,0.86,0.0119,0.672,114.09,-6.723
4W9zZsQKsqikYbKM9vcN5Q,0.636,0.684,0.00312,0.684,96.989,-9.37
6wtmql7FJ7SSLuSw8JD8rX,0.609,0.799,0.0458,0.77,149.046,-7.902
33GXePBlErinst4NjAvWuc,0.555,0.806,0.0611,0.832,140.676,-7.534
72boGlgSwUK01n44O2tOCv,0.608,0.634,0.0568,0.84,147.515,-11.24
66MwdlxiFMZ8TJGLEJnS7x,0.676,0.723,0.06,0.884,145.336,-7.61
0jnFDxgNhS156vu6roUVco,0.74,0.613,0.00494,0.676,96.491,-9.487
1bzfgbLPF3XTyDhmvoQ6uH,0.491,0.734,0.0129,0.885,148.275,-8.077
3lUVy400HL94NB03paDTyN,0.679,0.842,0.0572,0.767,137.589,-7.28
1YvbtzUkXtgotCTo6QeqkW,0.496,0.73,0.0728,0.918,162.314,-8.009
2zAwL5UwmqIh3JoKVkFvd8,0.487,0.76,0.22,0.508,143.404,-7.743
4A8jvQQ5EnKlTJIirMhgfA,0.555,0.697,0.0289,0.902,127.303,-8.615
2X89n7LOYnkKzfIlvi8sRp,0.467,0.917,0.0585,0.813,141.068,-6.813
1eijsmCG81EUB5YGGAz6Yv,0.498,0.851,0.00751,0.846,137.635,-7.251
4HNkcbObzBZnIlxB49GgrC,0.638,0.702,0.00298,0.849,158.441,-10.341
6ITuEsxEy2qPhqMowdDAeI,0.762,0.722,0.0922,0.966,122.769,-8.712
7BkAlVpGwXXl3sYNn5OoJ7,0.556,0.592,0.458,0.587,94.887,-7.378
2qTvEdNY21mL9whUJot9Oc,0.492,0.646,0.686,0.693,104.394,-7.702
2rslQV48gNv3r9pPrQFPW1,0.59,0.484,0.321,0.652,93.428,-10.424
40GFPBolcy0yucApV9uxq2,0.431,0.626,0.547,0.762,96.494,-9.46
7tJQ4Ekp2vN3NlI3vJJW3v,0.509,0.68,0.36,0.802,99.924,-8.354
1NYTj6JEw3IOh4ggiBh82h,0.466,0.747,0.301,0.628,135.527,-9.882
6aeOSY6fPsvGTzyXi65pNY,0.572,0.592,0.304,0.968,97.475,-8.639
37Dl7jQMmt0gUnzTKqnjkN,0.563,0.441,0.773,0.468,115.168,-9.902
2SbnSPLltgmScvZVI0OcRF,0.598,0.885,0.579,0.96,111.89,-6.904
1HgFg4pCJO1tX1uh5NMALx,0.367,0.392,0.249,0.43,121.661,-9.745
08TyPDbQ14NOoOWh13WJ2Z,0.565,0.738,0.223,0.806,134.109,-7.526
4i4oDSWluhViEzuYIZYtmJ,0.365,0.508,0.0793,0.623,155.741,-12.103
74z9AsqO74WCnX3BlvbGAL,0.352,0.856,0.296,0.704,189.846,-7.132
4jdtLLyEL7wY0TlCdMKhxq,0.301,0.385,0.604,0.275,171.836,-10.755
0h7N5rOgTT1rSwLoj9f3Bk,0.52,0.824,0.509,0.753,146.773,-7.092
473McZs08uo5AIimJyAelZ,0.542,0.699,0.628,0.827,138.383,-5.829
5JCbyeGTxbxMRZICQ0OkZO,0.554,0.772,0.599,0.969,135.849,-6.123
0qsS2A3hwicJCLtcaR6JRQ,0.308,0.895,0.389,0.902,150.109,-5.157
5Qe7NHxeLAn8KoLTNLSdwe,0.496,0.703,0.525,0.936,130.915,-6.905
2D2u93x695mLEvAoCJZ8Yl,0.387,0.551,0.2,0.903,155.209,-9.643
0IqGdE8K3AguQWVEZ6wEV3,0.451,0.62,0.279,0.84,172.112,-6.877
1E4FcSqQs7U2RTebCNaYRH,0.59,0.798,0.154,0.762,138.453,-6.91
5BZshzyuOfIGxmVt6RK7vn,0.764,0.322,0.63,0.625,113.35,-10.987
1kN5RXxIYrSbCgO8ke88rV,0.656,0.616,0.407,0.781,138.655,-6.909
4gxs9En3aoaOm2J5wNMMm9,0.588,0.811,0.339,0.802,89.862,-7.299
55RzZKWf4ICmLH4ulzkXNG,0.523,0.846,0.0387,0.734,123.391,-6.655
3iD2CCv5bsJRIaqJRYD0uJ,0.381,0.162,0.88,0.345,96.744,-12.44
2hOC9qItvmSkgMnxRjgPSr,0.554,0.742,0.205,0.746,94.969,-7.098
7oNt2nOzTTMCSMbIKP2inQ,0.395,0.362,0.195,0.387,184.294,-9.601
7LNiAjyg9P2GKINTtN6Yt8,0.381,0.608,0.113,0.742,106.299,-10.061
3hNUYt4dMM9RhcWmty8oKF,0.641,0.722,0.117,0.698,137.732,-10.553
1U9KXf8iMIHzNnG0Zb0Mzr,0.752,0.567,0.016,0.846,122.469,-8.635
35qzUISYKada65IDfoeOLT,0.43,0.386,0.173,0.654,176.535,-11.033
3NRXwFqPsmFe2dpIrT8CzK,0.534,0.628,0.00903,0.725,121.373,-9.308
4vLYewWIvqHfKtJDk8c8tq,0.532,0.151,0.706,0.211,136.759,-17.266
2x91iJc0UkFcjRMEZ2CoWB,0.639,0.186,0.704,0.498,128.375,-15.831
0aWMVrwxPNYkKmFthzmpRi,0.421,0.0162,0.808,0.154,110.479,-25.358
5o3DSHw1ORhM3lWxqGRvEf,0.499,0.149,0.771,0.363,139.815,-18.305
6dRx7OUXfvosnXG3g9lWGi,0.348,0.0219,0.899,0.225,178.698,-21.065
4QrQ1zC1UJW2i3GKbDeNTT,0.451,0.0275,0.916,0.242,130.777,-19.576
0OYCtl0lZeteFq2sIZbCHf,0.541,0.0337,0.676,0.397,128.019,-33.163
3NOweI7UeWPF9PzgEsiG78,0.607,0.0847,0.652,0.667,63.956,-24.115
3FdeddUjZryl1JW2DbzR0x,0.507,0.0624,0.724,0.645,128.513,-25.232
7aYP6U6rAhIzNx1DxDnBxv,0.34,0.0394,0.793,0.268,82.242,-39.198
7BcUaElEzhmBeeIRTN4xdW,0.0,0.00767,0.835,0.0,0.0,-43.886
4S0JzmCCQjaRjbPfIF6JV1,0.371,0.0123,0.718,0.0366,100.609,-35.068
745roqGwMrDnjNO1S3Q5ex,0.447,0.0294,0.091,0.528,128.469,-38.763
1p9HpuOBxEWQkD7UVJpj0b,0.467,0.0048,0.0995,0.084,54.314,-32.798
7FA0qrw667jTZR3wNcITQE,0.437,0.164,0.541,0.365,138.277,-34.071
0tUq1zaYNoV6ZiYRU2bjqf,0.445,0.304,0.742,0.362,76.74,-12.261
6YCAJqpG0uSZSwidZODdjW,0.624,0.131,0.844,0.396,110.614,-14.532
4zxd4tiXPlWMqoJltbVTbE,0.47,0.144,0.912,0.243,84.787,-12.824
66vrjgMvWOLyeKBuMGA0Cz,0.655,0.441,0.698,0.668,106.396,-10.355
4lcVPIWSWPB7F1emLGz1Tm,0.642,0.179,0.862,0.534,110.612,-13.597
11607FzqoipskTsXrwEHnJ,0.506,0.442,0.0869,0.532,105.826,-13.268
3fElupNRLRJ0tbUDahPrAb,0.679,0.645,0.032,0.826,125.844,-9.765
3PG7BAJG9WkmNOJOlc4uAo,0.55,0.145,0.913,0.138,103.918,-15.753
29engDqjmMr3VLqMm0c0WE,0.225,0.618,0.00137,0.567,144.724,-9.922
